,oligo_gdtha,oligo_gdtts,rmsd,lddt,tm_score
oligo_gdtha,9.648683862098511e-05,8.924665613080249e-05,0.003129646204130963,8.113776064995591e-05,6.463067288677055e-05
oligo_gdtts,8.924665613080249e-05,0.00010324625188039791,0.0032234915494762937,6.737083988303504e-05,7.078890804500559e-05
rmsd,0.003129646204130963,0.0032234915494762937,6.585179759554677,-0.0019834165476452083,0.006063492889841066
lddt,8.113776064995591e-05,6.737083988303504e-05,-0.0019834165476452083,0.00035105572598865317,3.918052527198877e-05
tm_score,6.463067288677055e-05,7.078890804500559e-05,0.006063492889841066,3.918052527198877e-05,9.942087594160779e-05
