,oligo_gdtts,lddt,rmsd,oligo_gdtha,tm_score
oligo_gdtts,0.0015009798781403722,0.00016340208513175033,-0.08288112802428833,0.0006988278731519729,0.0020874568328275896
lddt,0.00016340208513175033,0.00023183723062202577,-0.005100746595024893,9.087807749143336e-05,0.00017695230887442
rmsd,-0.08288112802428833,-0.005100746595024893,6.516016327691501,-0.032798398502498945,-0.13138312636500252
oligo_gdtha,0.0006988278731519729,9.087807749143336e-05,-0.032798398502498945,0.0003903592766851192,0.0009688337876892152
tm_score,0.0020874568328275896,0.00017695230887442,-0.13138312636500252,0.0009688337876892152,0.0037895495177212492
