,qs_global,rmsd,oligo_gdtts,lddt,tm_score,oligo_gdtha,dockq_ave,qs_best,ilddt,ips,ics,dockq_wave
qs_global,0.0019995974910011244,-0.02088969284167604,0.0004610300012654668,0.00022762801673228362,0.0002674395267622792,0.0003726845214660669,0.0015513122298931386,0.0022062757862298466,0.0005955135108267717,0.00014655642739969994,0.0014164101918822645,0.0011495651394825641
rmsd,-0.02088969284167604,0.42715431459730036,-0.019023854135545557,-0.001488878056102363,-0.011946999750796767,-0.017854259234439448,-0.026218677540776152,-0.02314812023247093,-0.0043827131318897655,-0.004757559950553055,-0.01450285390457443,-0.023223743829021367
oligo_gdtts,0.0004610300012654668,-0.019023854135545557,0.00479205704865017,-0.00010679655118110243,0.002049598565898012,0.004977302565991751,0.0015656056297806522,0.0005298374252437194,-0.00013439219488188954,-0.0002721501336707912,0.0003383675342144729,0.0024706567928852647
lddt,0.00022762801673228362,-0.001488878056102363,-0.00010679655118110243,0.00022528876771653585,-1.098707775590549e-05,-0.00012411202559055125,9.204653543307087e-05,0.00025816283562992126,0.00037555667322834686,-6.797126279527571e-05,0.0002068347903543309,6.591342814960632e-05
tm_score,0.0002674395267622792,-0.011946999750796767,0.002049598565898012,-1.098707775590549e-05,0.0010698805109048868,0.0020956829635045615,0.0008656797909167602,0.00030529026009248775,-2.829913057742786e-06,8.032959286339216e-05,0.00021926299054805592,0.001253920856017998
oligo_gdtha,0.0003726845214660669,-0.017854259234439448,0.004977302565991751,-0.00012411202559055125,0.0020956829635045615,0.005204136227440322,0.0015348900023903268,0.0004369284278996375,-0.00016956176410761132,-0.000293294372390951,0.0002769135448850142,0.002497718958942633
dockq_ave,0.0015513122298931386,-0.026218677540776152,0.0015656056297806522,9.204653543307087e-05,0.0008656797909167602,0.0015348900023903268,0.0019353440351518555,0.0017477522248312712,0.000337564596456693,0.0004925678136951632,0.0011518033128515182,0.0017539576241563549
qs_best,0.0022062757862298466,-0.02314812023247093,0.0005298374252437194,0.00025816283562992126,0.00030529026009248775,0.0004369284278996375,0.0017477522248312712,0.002464844277965254,0.000677344087270341,0.00020889170700537433,0.0015821568329427574,0.0013027192926040496
ilddt,0.0005955135108267717,-0.0043827131318897655,-0.00013439219488188954,0.00037555667322834686,-2.829913057742786e-06,-0.00016956176410761132,0.000337564596456693,0.000677344087270341,0.0007609758326771642,-5.1980777887139164e-05,0.0005166302417979001,0.00024413026968503947
ips,0.00014655642739969994,-0.004757559950553055,-0.0002721501336707912,-6.797126279527571e-05,8.032959286339216e-05,-0.000293294372390951,0.0004925678136951632,0.00020889170700537433,-5.1980777887139164e-05,0.001277113952693412,0.0001759061404980627,0.00029264285447131566
ics,0.0014164101918822645,-0.01450285390457443,0.0003383675342144729,0.0002068347903543309,0.00021926299054805592,0.0002769135448850142,0.0011518033128515182,0.0015821568329427574,0.0005166302417979001,0.0001759061404980627,0.0011909671663229596,0.0008872505674915635
dockq_wave,0.0011495651394825641,-0.023223743829021367,0.0024706567928852647,6.591342814960632e-05,0.001253920856017998,0.002497718958942633,0.0017539576241563549,0.0013027192926040496,0.00024413026968503947,0.00029264285447131566,0.0008872505674915635,0.001956582588020248
