,rmsd,tm_score,lddt,oligo_gdtts,oligo_gdtha
rmsd,0.002920237653389453,-0.00011984797767244834,-0.00024110289022962887,-0.0002865307029655959,-0.00034335254099532954
tm_score,-0.00011984797767244834,5.081981426865462e-06,1.1188628877395683e-05,1.2286680768567295e-05,1.531776890169749e-05
lddt,-0.00024110289022962887,1.1188628877395683e-05,0.00011893535790753722,2.783519321816208e-05,5.337588058602595e-05
oligo_gdtts,-0.0002865307029655959,1.2286680768567295e-05,2.783519321816208e-05,3.6074125852968706e-05,4.568321578141414e-05
oligo_gdtha,-0.00034335254099532954,1.531776890169749e-05,5.337588058602595e-05,4.568321578141414e-05,8.289818979496061e-05
