,tm_score,oligo_gdtts,lddt,rmsd,oligo_gdtha
tm_score,0.0001350595383412642,0.0001479845418953351,9.251320514849235e-05,-0.0043634365587935965,0.00014333350238190842
oligo_gdtts,0.0001479845418953351,0.00019949064317658396,0.00012816468745165076,-0.0042196710201038165,0.00024351068932394689
lddt,9.251320514849235e-05,0.00012816468745165076,0.0001381383465227095,-0.0023980130937785184,0.0001680647050754893
rmsd,-0.0043634365587935965,-0.0042196710201038165,-0.0023980130937785184,0.15833564674923128,-0.0030738620837449057
oligo_gdtha,0.00014333350238190842,0.00024351068932394689,0.0001680647050754893,-0.0030738620837449057,0.000402424032849835
