,oligo_gdtts,tm_score,oligo_gdtha,rmsd,lddt
oligo_gdtts,0.0001809563223165013,0.00021011064710818733,0.00013302067075806774,0.00726148258894137,0.00016907516550677712
tm_score,0.00021011064710818733,0.0003457195661080539,0.00013114577763461633,-0.011500804986253683,0.000192943655502906
oligo_gdtha,0.00013302067075806774,0.00013114577763461633,0.00011057501109029645,0.010714021102785156,0.00012981275680746417
rmsd,0.00726148258894137,-0.011500804986253683,0.010714021102785156,12.83806611580078,0.005693349840780094
lddt,0.00016907516550677712,0.000192943655502906,0.00012981275680746417,0.005693349840780094,0.00025788406161966396
