,tm_score,rmsd,lddt,oligo_gdtts,oligo_gdtha
tm_score,2.2395260583324915e-05,-0.000546217259608797,2.5080252300458168e-05,3.336222613240541e-05,4.224680765488596e-05
rmsd,-0.000546217259608797,0.01779809145826837,-0.0005407589623520533,-0.0004496542929347314,-0.000317045398834
lddt,2.5080252300458168e-05,-0.0005407589623520533,9.059806208700779e-05,4.6260322758670594e-05,5.845013104003908e-05
oligo_gdtts,3.336222613240541e-05,-0.0004496542929347314,4.6260322758670594e-05,9.897273599302777e-05,0.00015062180176307854
oligo_gdtha,4.224680765488596e-05,-0.000317045398834,5.845013104003908e-05,0.00015062180176307854,0.00025964424299405636
