,tm_score,oligo_gdtha,oligo_gdtts,lddt,rmsd
tm_score,8.41966340259124e-05,0.0001220358883326751,0.0001261711871628908,-1.3643362395396238e-06,0.00013760135968417844
oligo_gdtha,0.0001220358883326751,0.00021856419735706253,0.00021520145305249178,1.2301378521228528e-05,0.0002985485271415326
oligo_gdtts,0.0001261711871628908,0.00021520145305249178,0.0002163656698418922,7.12580972559208e-06,0.0002567031111973646
lddt,-1.3643362395396238e-06,1.2301378521228528e-05,7.12580972559208e-06,5.865613645801005e-05,0.0003665578757678022
rmsd,0.00013760135968417844,0.0002985485271415326,0.0002567031111973646,0.0003665578757678022,0.01783463587629075
