,tm_score,oligo_gdtts,rmsd,lddt,oligo_gdtha
tm_score,2.5378634653763347e-05,7.495906496431444e-05,-0.0008818518497698377,-3.0356413228775193e-06,7.557384848402962e-05
oligo_gdtts,7.495906496431444e-05,0.0002839230276138342,-0.0024900759943149017,4.098495085695282e-06,0.00029081650419255614
rmsd,-0.0008818518497698377,-0.0024900759943149017,0.03241665208669901,0.0001408597578297883,-0.0025048171786557333
lddt,-3.0356413228775193e-06,4.098495085695282e-06,0.0001408597578297883,4.392378768551433e-05,4.403178540919129e-06
oligo_gdtha,7.557384848402962e-05,0.00029081650419255614,-0.0025048171786557333,4.403178540919129e-06,0.00029911268847327864
